customer_id,name,age,country,signup_date
1,Ethan Jones,99,Chad,28/01/2022
2,Robert Palmer,32,Montserrat,11/09/2012
3,,21,Samoa,15/04/2015
4,Daisy Burns,53,Montenegro,16/05/2019
5,Lance Garza,49,Bosnia and Herzegovina,26/03/2010
6,Jennifer Fernandez,46,Fiji,25/05/2019
7,Amanda Howard,35,Guinea,10/12/2016
8,Emily Vasquez DVM,31,Cuba,03/08/2011
9,Jon Cooper,87,Cameroon,28/10/2013
10,Rachel Duncan,29,Congo,25/04/2024
11,Justin Harrison,93,Malta,07/12/2011
12,Michael Schroeder,72,Nigeria,07/11/2017
13,Robert Huff,22,Ireland,31/12/2011
14,Kelly Mccann,21,United States Minor Outlying Islands,07/01/2021
15,,29,Serbia,27/02/2024
16,Sarah Lane,45,Svalbard & Jan Mayen Islands,14/08/2012
17,Marvin Torres,47,Holy See (Vatican City State),24/06/2018
18,David Lam,82,Andorra,11/03/2022
19,Nicholas Clark,95,Denmark,19/12/2014
20,Thomas Martinez,21,Guinea,29/08/2018
21,William Garcia,89,Luxembourg,01/01/2022
22,Jamie Murphy,43,,27/08/2014
23,Brittany Williams,87,Saint Pierre and Miquelon,25/01/2017
24,Richard Bates,71,Lebanon,14/03/2024
25,Deborah Hughes,46,Aruba,18/03/2018
26,Monica Gordon,75,Rwanda,13/01/2018
27,Teresa Long,93,Western Sahara,23/02/2014
28,Patrick Williams,53,Falkland Islands (Malvinas),09/10/2017
29,Anthony Fischer,18,France,19/05/2019
30,Shawn Wheeler,38,Cuba,17/06/2012
31,Michael Turner,72,Thailand,11/07/2016
32,Matthew Wagner,61,Benin,30/03/2013
33,Jacob Simmons,53,Sierra Leone,13/03/2020
34,Nathan Gilmore,37,United States Minor Outlying Islands,25/08/2018
35,Aaron Rosales,45,Guatemala,12/09/2022
36,Joseph Mosley,61,Sri Lanka,28/04/2012
37,Shannon Moore,31,Colombia,12/09/2024
38,Karla Payne,29,Macao,10/03/2011
39,Randy Webb,66,Armenia,13/09/2014
40,Michael Miller,30,Cambodia,23/02/2023
41,Dr. Robert Keith,63,Kyrgyz Republic,10/06/2023
42,Brandi Ashley,62,Madagascar,15/07/2024
43,Christopher Bryant,95,United States of America,22/01/2017
44,David Kennedy,51,United Arab Emirates,13/10/2015
45,Brian Parks,23,Guam,27/05/2023
46,Stephen Rogers,76,Dominica,21/08/2018
47,Jason Johnson,86,Grenada,19/07/2014
48,Shawn Mcclure,33,Jordan,17/12/2023
49,Anthony Lewis,66,Turks and Caicos Islands,16/01/2010
50,Leslie Thompson,28,Papua New Guinea,24/10/2014
51,Mrs. Lauren Rios,88,Luxembourg,09/05/2022
52,Luke Martinez,55,Hungary,30/01/2015
